,angry,disgust,fear,happy,sad,surprise,neutral
63,0,0,0,0,3,0,1
64,0,0,0,0,3,0,1
65,0,0,0,0,3,0,1
66,0,0,0,0,1,0,2
67,0,0,0,0,1,0,2
68,0,0,0,0,1,0,2
69,0,0,0,0,2,0,1
70,0,0,0,0,1,0,2
71,0,0,0,0,2,0,1
72,0,0,0,0,2,0,1
73,0,0,1,0,2,0,1
74,0,0,1,0,2,0,1
75,0,0,0,0,2,0,1
76,0,0,1,0,1,0,2
77,0,0,0,0,3,0,1
78,0,0,0,0,2,0,2
79,0,0,0,0,3,0,1
80,0,0,0,0,3,0,1
81,0,0,0,0,2,0,1
82,0,0,0,0,2,0,1
83,0,0,1,0,2,0,0
84,0,0,0,0,2,0,1
85,0,0,1,0,1,0,1
86,0,0,0,0,3,0,1
87,0,0,0,0,3,0,1
88,0,0,0,0,3,0,0
89,0,0,0,0,4,0,0
90,0,0,1,0,3,0,0
91,0,0,0,0,4,0,0
92,0,0,1,0,3,0,1
93,0,0,1,0,3,0,1
94,0,0,0,0,5,0,0
95,0,0,0,0,4,0,1
96,0,0,0,0,4,0,1
97,1,0,0,0,4,0,0
98,0,0,0,0,4,0,1
99,0,0,0,0,2,0,1
100,0,0,0,0,2,0,1
101,0,0,0,0,1,0,1
102,0,0,0,0,1,0,1
103,0,0,0,0,1,0,1
104,0,0,0,0,2,0,0
105,0,0,0,0,1,0,0
106,0,0,0,0,1,0,0
107,0,0,0,0,1,0,0
108,0,0,0,0,1,0,1
109,1,0,0,0,1,0,0
110,0,0,0,0,1,0,1
111,0,0,0,0,2,0,1
112,0,0,0,0,1,0,1
113,0,0,0,0,2,0,1
114,0,0,0,0,2,0,1
115,0,0,0,0,2,0,1
116,0,1,0,0,1,0,1
117,0,0,0,0,2,0,1
118,0,0,0,0,2,0,2
119,0,0,0,0,2,0,1
120,0,0,0,0,2,0,1
121,0,1,0,0,2,0,1
122,1,0,0,0,1,0,2
123,0,1,0,0,1,0,1
124,0,1,0,0,1,0,1
125,0,1,0,0,1,0,1
126,0,0,0,0,1,0,2
127,0,0,1,0,1,0,1
128,0,0,1,0,1,0,1
129,0,0,1,0,1,0,1
130,0,0,1,0,1,0,1
131,0,0,1,0,1,0,1
132,0,0,1,0,1,0,1
133,0,0,0,0,1,0,2
134,0,0,0,0,1,0,2
135,0,0,1,0,1,0,1
136,0,0,1,0,1,0,1
137,0,0,0,0,1,0,2
138,0,0,0,0,2,0,1
139,1,0,1,0,1,0,0
140,0,0,0,0,2,0,0
141,0,0,0,0,2,0,0
142,0,0,0,0,2,0,0
143,0,0,0,0,2,0,0
144,0,0,0,0,2,0,0
145,0,0,0,1,1,0,0
146,0,0,0,0,2,0,0
147,0,0,0,0,2,0,1
148,0,0,0,1,0,0,0
149,0,0,0,1,0,0,1
150,0,0,0,0,1,0,0
151,0,0,0,1,0,0,1
152,0,0,0,1,0,0,1
153,0,0,0,1,0,0,0
154,1,0,0,0,0,0,0
155,1,0,0,0,0,0,0
156,1,0,0,0,0,0,0
157,1,0,0,0,0,0,0
158,1,0,0,0,0,0,0
159,0,0,0,1,0,0,0
160,0,0,0,0,1,0,0
161,0,0,1,0,0,0,0
162,0,0,1,0,0,0,0
163,0,0,1,0,0,0,0
164,0,0,1,0,0,0,0
165,0,0,0,0,0,0,1
166,0,0,1,0,0,0,0
167,0,0,1,0,0,0,0
168,0,0,0,0,0,0,1
169,1,0,0,0,0,0,0
170,0,0,1,0,0,0,0
171,0,0,1,0,0,0,0
172,0,0,1,0,0,0,0
173,0,0,1,0,0,0,0
174,1,0,0,0,0,0,0
175,0,0,1,0,0,0,0
176,0,0,1,0,0,0,0
177,0,0,1,0,0,0,0
178,0,0,0,0,0,1,0
179,0,0,1,0,0,0,0
180,0,0,1,0,0,0,0
181,0,0,0,0,0,0,1
182,0,0,1,0,0,0,0
183,0,0,1,0,0,0,1
184,0,0,0,0,0,0,2
185,0,0,1,0,0,0,1
186,0,0,1,0,0,0,1
187,0,0,0,0,0,0,2
188,1,0,0,0,0,0,2
189,1,0,0,0,0,0,2
190,1,0,0,0,0,0,2
191,1,0,0,0,0,0,2
192,1,0,0,0,0,0,2
193,1,0,0,0,0,0,2
194,1,0,0,0,0,0,2
195,1,0,0,0,1,0,1
196,1,0,0,0,0,0,2
197,1,0,0,0,0,0,2
198,1,0,0,0,1,0,1
199,1,0,0,0,1,0,1
200,1,0,0,0,0,0,2
201,1,0,0,0,0,0,2
202,1,0,0,0,0,0,2
203,1,0,0,0,0,0,2
204,0,0,0,0,1,0,2
205,1,0,0,0,0,0,2
206,0,0,0,0,0,1,2
207,1,0,0,0,0,0,2
208,1,0,0,0,0,0,2
209,0,0,0,0,0,1,2
210,0,0,0,0,0,1,2
211,0,0,1,0,1,0,1
212,0,0,2,0,0,0,1
213,1,0,1,0,0,0,1
214,0,0,1,0,1,0,1
215,0,0,0,1,1,0,1
216,0,0,2,0,0,0,1
217,0,0,2,0,0,0,1
218,0,0,0,0,1,0,1
219,0,0,0,0,2,0,1
220,0,0,0,0,1,0,1
221,0,0,0,0,0,0,2
222,0,0,0,0,0,0,2
223,0,0,0,0,0,0,1
224,0,0,0,0,1,0,1
225,1,0,0,0,0,0,2
226,1,0,0,0,0,0,2
227,1,0,0,0,0,0,2
228,1,0,0,0,1,0,1
229,1,0,0,0,1,0,2
230,0,0,1,0,0,0,2
231,0,0,1,0,1,0,2
232,1,0,0,0,1,0,2
233,0,0,1,0,1,0,2
234,0,0,1,0,1,0,2
235,0,0,1,0,1,0,2
236,0,0,1,0,1,0,1
237,0,0,0,0,2,0,1
238,0,0,0,0,2,0,1
239,0,0,2,0,1,0,1
240,1,0,1,0,1,0,1
241,1,0,1,0,1,0,1
242,1,0,0,0,1,0,2
243,1,0,1,0,1,0,2
244,1,0,0,0,2,0,2
245,0,0,0,0,2,0,2
246,1,0,0,0,3,0,1
247,0,0,0,0,2,0,2
248,0,0,0,0,3,0,1
249,0,0,1,0,2,0,2
250,0,0,0,0,4,0,2
251,0,0,1,0,3,0,2
252,0,0,0,0,2,0,3
253,0,0,0,0,1,0,3
254,0,0,0,0,1,0,3
255,0,0,0,0,3,0,3
256,0,0,1,0,1,0,5
257,0,0,1,0,3,0,2
258,1,0,0,0,1,0,4
259,0,0,0,0,2,0,3
260,0,0,0,1,1,0,2
261,0,0,0,0,2,0,2
262,0,0,0,0,1,0,3
263,0,0,0,0,1,0,3
264,0,0,0,0,1,0,3
265,0,0,0,0,2,0,2
266,0,0,0,0,1,0,4
267,0,0,0,0,0,0,6
268,0,0,1,0,1,0,4
269,0,0,0,0,0,0,7
270,0,0,1,0,1,0,6
271,0,0,1,0,0,0,6
272,0,0,1,0,2,0,3
273,0,0,0,0,0,0,6
274,0,0,0,0,1,0,6
275,0,0,0,0,0,0,5
276,0,0,1,0,1,0,4
277,0,0,1,0,2,0,3
278,0,0,0,0,2,0,4
279,0,0,0,0,3,0,3
280,0,0,0,0,3,0,3
281,0,0,0,0,2,0,4
282,0,0,0,0,3,0,3
283,0,0,0,0,3,0,4
284,0,0,0,0,3,0,3
285,1,0,1,0,2,0,3
286,0,0,1,0,2,0,3
287,0,0,0,0,4,0,2
288,0,0,0,0,4,0,2
289,2,0,3,1,1,0,0
290,1,0,4,1,1,0,0
291,2,0,0,1,3,0,1
292,1,0,3,1,0,0,1
293,1,0,4,1,1,0,0
294,1,0,3,1,1,0,0
295,2,0,3,1,0,0,1
296,1,0,3,2,1,0,0
297,3,0,1,1,0,0,1
298,4,0,0,1,1,0,0
299,3,0,0,2,1,0,0
300,1,0,1,1,1,0,2
301,3,0,0,1,2,0,0
302,3,0,0,1,1,0,1
303,1,0,1,1,1,0,2
304,0,0,1,2,2,0,0
305,1,0,0,2,1,0,2
306,0,0,0,1,4,0,1
307,0,0,1,1,2,0,2
308,0,0,2,1,2,0,1
309,1,0,1,1,1,0,2
310,1,0,1,2,1,0,2
311,1,0,0,3,0,0,2
312,0,0,2,1,1,0,3
313,0,0,0,2,2,0,2
314,1,0,0,2,1,0,3
315,0,0,1,2,0,0,4
316,0,0,1,2,0,0,3
317,1,0,1,1,0,0,4
318,0,0,1,1,1,0,3
319,0,0,0,1,2,0,4
320,0,0,1,0,2,0,3
321,0,0,0,1,3,0,2
322,0,0,0,1,2,0,3
323,0,0,1,0,2,0,3
324,0,0,0,1,1,0,4
325,1,0,1,1,1,0,2
326,0,0,1,1,1,0,2
327,0,0,1,1,0,0,4
328,0,0,0,1,1,0,3
329,0,0,0,1,2,0,3
330,0,0,0,1,3,0,2
331,0,0,0,1,3,0,2
332,0,0,0,1,3,0,1
333,0,0,0,1,2,0,3
334,0,0,0,1,3,0,1
335,0,0,0,1,1,0,4
336,0,0,0,1,3,0,2
337,0,0,1,1,3,0,2
338,1,0,0,1,2,0,2
339,0,0,1,1,3,0,2
340,1,0,1,0,2,0,0
341,0,0,1,0,2,0,1
342,0,0,1,0,2,0,0
343,0,0,1,0,2,0,1
344,0,0,1,0,2,0,0
345,0,0,1,0,2,0,0
346,0,0,1,0,3,0,0
347,0,0,2,0,1,0,0
348,0,0,2,0,1,0,0
349,0,0,1,0,1,0,1
350,0,0,1,0,1,0,0
351,0,0,1,0,1,0,0
352,0,0,1,0,1,0,0
353,0,0,1,0,1,0,1
354,0,0,1,0,1,0,2
355,0,0,2,0,1,0,1
356,0,0,2,0,1,0,0
357,0,0,1,0,2,0,0
358,0,0,1,0,2,0,0
359,0,0,1,0,2,0,0
360,1,0,1,0,0,0,2
361,1,0,0,0,1,0,2
362,1,0,1,0,0,0,2
363,1,0,0,0,1,0,1
364,1,0,0,0,1,0,3
365,0,0,1,0,1,0,3
366,0,0,1,0,2,0,3
367,1,0,1,0,2,0,2
368,1,0,1,1,1,0,2
369,0,0,2,1,0,0,3
370,1,0,0,0,2,0,1
371,1,0,1,0,1,0,2
372,1,0,1,0,0,0,3
373,0,0,1,0,1,0,3
374,2,0,0,0,1,0,2
375,1,0,0,0,2,0,2
376,1,0,0,0,1,0,3
377,0,0,1,0,2,0,2
378,1,0,0,1,1,0,2
379,1,0,0,0,1,0,3
380,1,0,0,0,1,0,3
381,1,0,0,1,1,0,2
382,1,0,0,1,1,0,1
383,1,0,0,1,1,0,1
384,1,0,0,0,1,0,2
385,1,0,0,0,1,0,3
386,1,0,0,0,1,0,3
387,1,0,0,0,1,0,3
388,0,0,1,0,1,0,3
389,1,0,0,1,0,0,3
390,1,0,0,0,0,0,4
391,0,0,1,0,1,0,2
392,1,0,1,0,0,0,3
393,0,0,1,1,0,0,3
394,2,0,0,0,0,0,3
395,2,0,0,0,0,0,3
396,1,0,1,0,0,0,3
397,1,0,1,0,0,0,2
398,0,0,2,0,0,0,2
399,1,0,1,0,0,0,3
400,0,0,2,0,0,0,3
401,0,0,2,0,0,0,2
402,0,0,1,0,1,0,3
403,0,0,1,0,1,0,3
404,0,0,1,0,1,0,3
405,2,0,0,0,1,0,2
406,1,0,1,0,1,0,2
407,0,0,2,0,0,0,3
408,0,0,2,0,0,0,3
409,0,0,2,0,0,0,3
410,0,0,2,0,0,0,3
411,1,0,1,0,2,0,2
412,1,0,0,0,1,0,3
413,1,0,0,0,2,0,4
414,2,0,1,0,1,0,3
415,1,0,1,0,1,0,4
416,1,0,0,0,2,0,3
417,1,0,0,0,2,0,4
418,1,0,0,0,1,0,3
419,0,0,0,0,3,0,3
420,0,0,2,0,1,0,3
421,0,0,1,0,0,0,5
422,0,0,1,0,2,0,3
423,0,0,1,0,2,0,2
424,1,0,1,0,1,0,3
425,0,0,1,0,0,0,4
426,0,0,1,1,1,0,3
427,2,0,0,0,0,0,3
428,0,0,1,0,1,0,3
429,0,0,1,0,1,0,3
430,1,0,1,0,0,0,2
431,1,0,0,0,1,0,2
432,0,0,1,0,1,0,2
433,0,0,1,0,1,0,2
434,0,0,0,0,1,0,1
435,0,0,1,0,0,0,1
436,0,0,0,0,1,0,1
437,0,0,1,0,0,0,1
438,0,0,1,0,0,0,1
439,0,0,1,0,0,0,1
440,0,0,0,0,1,0,1
441,0,0,0,0,1,0,1
442,0,0,0,0,1,0,1
443,0,0,0,0,1,0,1
444,0,0,0,0,0,0,2
445,0,0,0,0,0,0,2
446,0,0,0,0,1,0,1
447,0,0,1,0,0,0,1
448,0,0,0,0,1,0,1
449,1,0,0,0,0,0,1
450,0,0,0,0,1,0,1
451,0,0,0,0,0,0,2
452,0,0,0,0,0,0,2
453,0,0,0,0,0,0,2
454,0,0,0,0,0,0,1
455,0,0,0,0,1,0,2
456,0,0,0,0,1,0,1
457,0,0,0,0,2,0,1
458,0,0,1,0,1,0,0
459,1,0,0,0,0,0,1
460,0,0,0,0,1,0,1
461,0,0,0,0,2,0,0
462,0,0,0,0,1,0,1
463,0,0,1,0,0,0,1
464,0,0,1,0,0,0,1
465,0,0,0,0,1,0,2
466,0,0,0,0,0,1,1
467,0,0,0,0,0,1,1
468,0,0,0,0,0,1,1
469,0,0,0,0,1,0,1
470,0,0,0,0,0,0,2
471,0,0,0,0,0,0,2
472,0,0,1,0,1,0,1
473,0,0,1,0,1,0,1
474,0,0,0,0,1,0,1
475,0,0,1,0,1,0,0
476,0,0,0,0,1,0,1
477,0,0,1,0,1,0,0
478,0,0,1,0,1,0,0
479,0,0,1,0,1,0,0
480,0,0,1,0,1,0,0
481,0,0,0,0,1,0,1
482,0,0,0,0,1,0,2
483,0,0,0,0,2,0,0
484,0,0,0,0,2,0,0
485,0,0,0,0,1,0,1
486,0,0,0,0,1,0,1
487,0,0,0,0,0,0,1
488,0,0,1,0,0,0,0
489,0,0,1,0,0,0,0
490,0,0,1,0,0,0,0
491,0,0,0,0,0,0,1
492,0,0,0,0,0,0,1
493,0,0,0,0,0,0,1
494,0,0,0,0,0,0,1
495,0,0,0,0,0,0,1
496,0,0,0,0,0,0,1
497,0,0,0,0,0,0,1
498,0,0,0,0,0,0,1
499,0,0,0,0,0,0,1
500,0,0,0,0,0,0,1
501,0,0,0,0,0,0,1
502,0,0,0,0,0,0,1
503,0,0,0,0,0,0,1
504,0,0,0,0,0,0,1
505,0,0,0,0,0,0,1
506,0,0,0,0,0,0,1
507,0,0,0,0,0,0,1
508,0,0,0,0,0,0,1
509,0,0,0,0,0,0,1
510,0,0,0,0,0,0,1
511,0,0,0,0,0,0,1
512,0,0,0,0,0,0,1
513,0,0,0,0,0,0,1
514,0,0,0,0,0,0,1
515,0,0,0,0,0,0,1
516,0,0,0,0,0,0,1
517,0,0,0,0,0,0,1
518,0,0,0,0,0,0,1
519,0,0,0,0,1,0,0
520,0,0,0,0,0,0,1
521,0,0,0,0,0,0,1
522,0,0,0,0,0,0,1
523,0,0,0,0,0,0,1
524,0,0,0,0,0,0,1
525,0,0,0,0,1,0,0
526,0,0,0,0,0,0,1
527,0,0,0,0,0,0,1
528,0,0,0,0,1,0,0
529,0,0,0,0,0,0,1
530,0,0,0,0,0,0,1
531,0,0,0,0,0,0,1
532,0,0,0,1,0,0,0
533,0,0,0,1,0,0,0
534,0,0,0,1,0,0,0
535,1,0,0,1,0,0,0
536,0,0,0,1,1,0,0
537,0,0,0,1,0,0,0
538,1,0,0,1,0,1,0
539,0,0,0,1,0,0,0
540,0,0,0,1,0,0,0
541,0,0,0,1,0,0,0
542,0,0,0,1,0,0,0
543,0,0,0,1,0,0,0
544,1,0,0,1,0,0,0
545,0,0,0,1,0,0,0
546,0,0,0,1,0,0,0
547,0,0,0,1,0,0,0
548,0,0,0,1,0,0,0
549,0,0,0,1,0,0,0
550,0,0,0,1,0,0,0
551,0,0,0,1,0,0,0
552,1,0,0,1,0,0,0
553,0,0,0,1,0,0,0
554,0,0,1,0,0,0,0
555,0,0,0,0,0,0,1
556,0,0,1,0,0,0,0
557,0,0,1,0,0,0,0
558,0,0,1,0,0,0,0
559,0,0,1,0,0,0,0
560,0,0,1,0,0,0,0
561,1,0,0,0,0,0,0
562,0,0,2,0,0,0,0
563,0,0,1,0,0,0,0
564,0,0,0,0,0,0,1
565,0,0,1,0,0,0,0
566,0,0,0,1,0,0,0
567,0,0,0,0,1,0,0
568,0,0,0,0,0,0,1
569,0,0,0,0,1,0,0
570,0,0,0,0,1,0,0
571,0,0,0,0,0,0,1
572,0,0,0,0,1,0,0
573,0,0,0,0,0,0,1
574,0,0,0,0,1,0,0
575,0,0,0,0,0,0,1
576,0,0,0,0,0,0,1
577,0,0,0,0,0,0,1
578,0,0,0,0,0,0,1
579,0,0,0,0,0,0,1
580,0,0,1,0,1,0,0
581,0,0,2,0,0,0,0
582,0,0,2,0,0,0,0
583,0,0,2,0,0,0,0
584,0,0,0,0,2,0,0
585,0,0,2,0,0,0,0
586,0,0,0,0,2,0,0
587,0,0,0,0,2,0,0
588,0,0,1,0,1,0,0
589,0,0,1,0,1,0,0
590,1,0,0,0,1,0,0
591,1,0,0,0,1,0,0
592,0,0,2,0,0,0,0
593,0,0,1,0,1,0,0
594,0,0,0,0,2,0,0
595,0,0,0,0,2,0,0
596,0,0,0,0,2,0,0
597,0,0,1,0,1,0,0
598,0,0,1,0,1,0,0
599,0,0,0,0,2,0,0
600,0,0,1,0,1,0,0
601,1,0,0,0,1,0,0
602,1,0,0,0,1,0,0
603,0,0,1,0,0,0,1
604,0,0,0,0,2,0,0
605,0,0,1,0,1,0,0
606,0,0,1,0,0,1,0
607,1,0,0,0,0,1,0
608,0,0,0,0,1,1,0
609,0,0,0,0,1,1,0
610,0,0,0,0,1,1,0
611,1,0,0,0,0,1,0
612,0,0,0,0,2,0,0
613,1,0,0,0,0,0,1
614,1,0,0,0,0,0,1
615,1,0,0,0,0,0,1
616,1,0,0,0,0,0,1
617,0,0,0,1,1,0,0
618,0,0,0,0,2,0,0
619,0,0,0,1,1,0,0
620,0,0,0,1,1,0,0
621,0,0,0,1,1,0,0
622,0,0,0,1,1,0,0
623,0,0,1,1,0,0,0
624,0,0,0,1,1,0,0
625,0,0,0,1,1,0,0
626,0,0,0,1,1,0,0
627,0,0,0,0,1,0,1
628,0,0,0,0,2,0,0
629,0,0,1,0,1,0,0
630,1,0,0,0,0,0,1
631,1,0,0,0,1,0,0
632,1,0,0,1,0,0,0
633,0,0,0,1,1,0,0
634,1,0,0,1,0,0,0
635,0,0,0,1,1,0,0
636,0,0,0,1,1,0,0
637,0,0,0,1,1,0,0
638,0,0,0,1,1,0,0
639,0,0,1,1,0,0,0
640,0,0,1,1,0,0,0
641,0,0,1,1,0,0,0
642,0,0,1,1,0,0,0
643,0,0,0,1,1,0,0
644,0,0,1,1,0,0,0
645,0,0,1,1,0,0,0
646,0,0,1,1,0,0,0
647,0,0,0,1,0,0,0
648,0,0,0,1,0,0,0
649,0,0,0,1,0,0,0
650,0,0,0,1,0,0,0
651,0,0,0,1,0,0,0
652,0,0,0,1,0,0,0
653,0,0,0,1,0,0,0
654,0,0,0,1,0,0,0
655,0,0,0,0,1,0,0
656,0,0,1,0,0,0,0
657,0,0,0,0,0,0,1
658,0,0,0,0,1,0,0
659,0,0,0,1,0,0,0
660,0,0,0,0,0,1,0
661,0,0,0,0,0,0,1
662,0,0,0,0,0,0,1
663,0,0,0,0,0,0,1
664,0,0,1,0,0,0,0
665,0,0,0,0,1,0,0
666,0,0,1,0,0,0,0
667,0,0,0,1,0,0,0
668,0,0,0,0,1,0,1
669,0,0,0,1,1,0,0
670,0,0,0,0,2,0,0
671,0,0,0,1,1,0,0
672,0,0,2,0,0,0,0
673,0,0,1,0,0,0,1
674,0,0,2,0,0,0,0
675,0,0,1,0,0,1,0
676,0,0,2,0,0,0,0
677,0,0,2,0,0,0,0
678,1,0,1,0,0,0,0
679,0,0,1,0,0,1,0
680,1,0,1,0,0,0,0
681,0,0,1,0,0,1,0
682,0,0,2,0,0,0,0
683,0,0,1,0,0,1,0
684,0,0,1,1,0,0,0
685,0,0,0,0,1,0,1
686,1,0,0,0,1,0,0
687,1,0,0,0,1,0,1
688,1,0,0,0,1,0,0
689,0,0,0,0,2,0,0
690,0,0,0,0,2,0,0
691,1,0,0,0,1,0,0
692,1,0,0,0,1,0,0
693,0,0,0,0,2,0,0
694,0,0,0,0,2,0,0
695,0,0,0,0,1,0,1
696,1,0,0,0,0,0,1
697,0,0,0,0,1,0,1
698,0,0,0,0,1,1,0
699,1,0,0,0,0,1,0
700,1,0,0,0,1,0,0
701,1,0,0,0,1,0,0
702,0,0,0,0,1,1,0
703,0,0,0,0,1,1,0
704,0,0,0,1,1,0,0
705,0,0,0,1,1,0,0
706,0,0,0,1,1,0,0
707,0,0,0,1,1,0,0
708,0,0,0,1,1,0,0
709,1,0,0,1,0,0,0
710,0,0,0,1,0,0,1
711,0,0,0,1,0,0,1
712,0,0,0,1,0,0,1
713,1,0,0,0,0,0,1
714,1,0,0,0,0,0,2
715,0,0,1,0,0,0,1
716,0,0,0,0,0,1,1
717,0,0,1,0,0,0,0
718,0,0,0,0,1,0,0
719,1,0,0,0,0,0,0
720,1,0,0,0,0,0,0
721,1,0,0,0,0,0,0
722,1,0,0,0,0,0,0
723,1,0,0,0,0,0,0
724,1,0,0,0,0,0,0
725,1,0,0,0,0,0,0
726,1,0,0,0,0,0,0
727,1,0,0,0,0,0,0
728,1,0,0,0,0,0,0
729,1,0,0,0,0,0,0
730,1,0,0,0,0,0,0
731,1,0,0,0,0,0,0
732,1,0,0,0,0,0,0
733,0,0,1,0,0,0,0
734,1,0,0,0,0,0,0
735,1,0,0,0,0,0,0
736,0,0,1,0,0,0,0
737,0,0,1,0,0,0,0
738,0,0,1,0,0,0,0
739,0,0,1,0,0,0,0
740,0,0,1,0,0,0,0
741,1,0,0,0,0,0,0
742,0,0,1,0,0,0,0
743,0,0,1,0,0,0,0
744,0,0,1,0,0,0,0
745,0,0,1,0,0,0,0
746,0,0,1,0,0,0,0
747,0,0,1,0,0,0,0
748,0,0,1,0,0,0,0
749,0,0,1,0,0,0,0
750,0,0,1,0,0,0,0
751,0,0,1,0,0,0,0
752,0,0,0,1,0,0,1
753,0,0,0,1,0,0,1
754,0,0,0,1,0,0,1
755,0,0,0,1,0,0,1
756,0,0,0,1,0,0,1
757,0,0,1,1,0,0,0
758,0,0,0,1,0,1,1
759,0,0,0,1,0,1,1
760,0,0,0,1,0,1,1
761,0,0,1,1,0,0,1
762,0,0,1,1,0,0,1
763,0,0,0,0,0,1,1
764,0,0,1,0,0,0,1
765,0,0,1,0,0,0,0
766,0,0,0,0,0,1,1
767,0,0,1,0,0,0,1
768,0,0,1,0,0,0,1
769,0,0,0,0,0,0,1
770,0,0,0,0,0,0,1
771,0,0,0,0,0,0,1
772,0,0,0,0,0,0,1
773,0,0,0,0,0,0,1
774,0,0,0,0,0,0,1
775,0,0,0,0,0,0,1
776,0,0,0,0,0,0,1
777,0,0,0,0,0,0,1
778,0,0,0,0,0,0,1
779,0,0,0,0,0,0,1
780,0,0,0,0,0,0,1
781,0,0,0,0,0,0,1
782,0,0,0,0,0,0,1
783,0,0,0,0,0,0,1
784,0,0,0,0,0,0,2
785,0,0,0,0,0,0,1
786,0,0,0,0,0,0,2
787,0,0,0,1,0,0,0
788,0,0,0,0,0,0,1
789,0,0,0,1,0,0,0
790,0,0,0,1,0,0,0
791,0,0,0,1,0,0,0
792,0,0,0,1,0,0,1
793,0,0,0,1,0,0,1
794,0,0,0,1,0,0,1
795,0,0,0,1,0,0,1
796,0,0,0,0,0,0,1
797,0,0,0,1,0,0,0
798,0,0,1,0,0,0,0
799,0,0,0,0,0,1,1
800,0,0,0,0,0,1,1
801,0,0,0,0,0,1,1
802,0,0,0,1,0,0,1
803,0,0,0,1,0,0,0
804,0,0,0,1,0,0,1
805,0,0,0,1,0,0,0
806,0,0,0,1,0,0,0
807,0,0,0,1,0,0,0
808,0,0,0,1,0,0,0
809,0,0,0,1,0,0,0
810,0,0,0,1,0,0,0
811,0,0,0,1,0,0,1
812,0,0,0,1,0,0,1
813,0,0,0,1,0,0,0
814,0,0,0,1,0,0,0
815,0,0,0,1,0,0,0
816,0,0,0,1,0,0,0
817,0,0,0,1,0,0,0
818,0,0,0,1,0,0,0
819,0,0,1,1,0,0,0
820,0,0,1,1,0,0,0
821,0,0,1,1,0,0,0
822,0,0,0,1,0,1,0
823,0,0,0,0,1,0,0
824,0,0,0,1,0,1,0
825,1,0,0,1,0,0,0
826,0,0,0,1,0,0,0
827,0,0,0,0,1,0,0
828,0,0,0,1,0,0,0
829,0,0,0,1,0,0,0
830,0,0,0,1,0,0,0
831,0,0,0,1,0,0,0
832,0,0,0,1,0,0,0
833,0,0,0,1,0,0,0
834,0,0,0,1,0,0,0
835,0,0,0,1,0,0,0
836,0,0,0,1,0,0,0
837,0,0,0,1,0,0,0
838,0,0,0,1,0,0,0
839,0,0,0,1,0,0,0
840,0,0,0,0,1,0,0
841,0,0,0,1,0,0,0
842,0,0,0,1,0,0,0
843,0,0,0,1,0,0,0
844,0,0,0,1,0,0,0
845,0,0,0,0,0,0,1
846,0,0,0,0,0,0,1
847,0,0,0,0,0,0,1
848,0,0,0,0,0,0,1
849,0,0,0,0,0,0,1
850,0,0,0,0,1,0,0
851,0,0,0,0,0,0,1
852,0,0,0,1,0,0,0
853,0,0,1,0,0,0,0
854,0,0,0,0,0,0,1
855,0,0,0,1,0,0,0
856,0,0,0,1,0,0,0
857,0,0,0,1,0,0,0
858,0,0,0,1,0,0,0
859,0,0,0,1,0,0,0
860,0,0,1,1,1,0,0
861,0,0,0,1,0,0,0
862,0,0,1,1,1,0,0
863,0,0,1,1,0,0,0
864,0,0,1,1,0,0,0
865,0,0,1,1,0,0,0
866,0,0,1,1,0,0,0
867,0,0,2,0,0,0,0
868,0,0,1,0,0,0,0
869,0,0,0,0,0,1,0
870,0,0,0,0,0,1,0
